,date,text,sentiment,title,Ticker
0,"Fri, 25 Oct 2019 16:07:01 -0400",OceanFirst Financial's (OCFC) CEO Christopher Maher on Q3 2019 Results - Earnings Call Transcript,Neutral,OceanFirst Financial's (OCFC) CEO Christopher Maher on Q3 2019 Results - Earnings Call Transcript,OCFC
1,"Thu, 24 Oct 2019 17:45:09 -0400","OceanFirst (OCFC) delivered earnings and revenue surprises of 5.88% and -0.52%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,OceanFirst Financial (OCFC) Q3 Earnings Top Estimates,OCFC
2,"Thu, 24 Oct 2019 16:15:00 -0400","RED BANK, N.J., Oct.  24, 2019  (GLOBE NEWSWIRE) -- OceanFirst Financial Corp. (NASDAQ:“OCFC”), (the “Company”), the holding company for OceanFirst Bank N.A. (the “Bank”), today announced that net income was $25.0 million, or $0.49 per diluted share, for the three months ended September 30, 2019, as compared to $24.1 million, or $0.50 per diluted share, for the corresponding prior year period. For the nine months ended September 30, 2019, net income was $65.1 million, or $1.28 per diluted share, as compared to $45.2 million, or $0.95 per diluted share, for the corresponding prior year period.",Neutral,OceanFirst Financial Corp. Announces Third Quarter Earnings and Financial Results,OCFC
3,"Thu, 17 Oct 2019 10:32:36 -0400",OceanFirst (OCFC) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,OceanFirst Financial (OCFC) Expected to Beat Earnings Estimates: Can the Stock Move Higher?,OCFC
4,"Wed, 25 Sep 2019 16:30:00 -0400","RED BANK, N.J., Sept.  25, 2019  (GLOBE NEWSWIRE) -- OceanFirst Financial Corp. (NASDAQ:OCFC), the holding company for OceanFirst Bank, today announced that it will issue its earnings release for the quarter ended September 30, 2019 on Thursday, October 24, 2019 after the market close.  Management will then conduct a conference call at 11:00 a.m. Eastern Time, on Friday, October 25, 2019, to discuss highlights of the Company's third quarter operating performance.",Neutral,OceanFirst Financial Corp. Schedules Earnings Conference Call,OCFC
5,"Mon, 09 Sep 2019 16:15:00 -0400","RED BANK, N.J., Sept.  09, 2019  (GLOBE NEWSWIRE) -- OceanFirst Bank N.A. (OceanFirst), the wholly owned subsidiary of OceanFirst Financial Corp. (NASDAQ:OCFC), announces the appointment of Karthik Sridharan as Executive Vice President and Chief Information Officer.",Neutral,"OceanFirst Bank Announces Appointment of Karthik Sridharan, Executive Vice President and Chief Information Officer",OCFC
6,"Tue, 13 Aug 2019 06:37:00 -0400","OceanFirst (OCFC) signs two merger agreements with Two River Bancorp and Country Bank for $182.8 million and $102.2 million, respectively.",Neutral,OceanFirst (OCFC) to Acquire Two River Bancorp & Country Bank,OCFC
7,"Fri, 26 Jul 2019 21:03:04 -0400",OceanFirst Financial Corp. (OCFC) CEO Christopher Maher on Q2 2019 Results - Earnings Call Transcript,Neutral,OceanFirst Financial Corp. (OCFC) CEO Christopher Maher on Q2 2019 Results - Earnings Call Transcript,OCFC
8,"Thu, 25 Jul 2019 20:35:04 -0400","OceanFirst (OCFC) delivered earnings and revenue surprises of -7.27% and -3.44%, respectively, for the quarter ended June 2019. Do the numbers hold clues to what lies ahead for the stock?",Negative,OceanFirst Financial (OCFC) Q2 Earnings and Revenues Miss Estimates,OCFC
9,"Fri, 28 Jun 2019 09:30:11 -0400",OCFC vs. PFS: Which Stock Is the Better Value Option?,Positive,OCFC vs. PFS: Which Stock Should Value Investors Buy Now?,OCFC
10,"Thu, 27 Jun 2019 09:15:06 -0400","Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does OceanFirst Financial (OCFC) have what it takes?",Positive,Why OceanFirst Financial (OCFC) is a Great Dividend Stock Right Now,OCFC
11,"Tue, 11 Jun 2019 09:15:06 -0400","Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does OceanFirst Financial (OCFC) have what it takes?",Positive,Why OceanFirst Financial (OCFC) is a Top Dividend Stock for Your Portfolio,OCFC
12,"Fri, 26 Apr 2019 19:28:19 -0400",OceanFirst Financial Corp. (OCFC) CEO Christopher Maher on Q1 2019 Results - Earnings Call Transcript,Neutral,OceanFirst Financial Corp. (OCFC) CEO Christopher Maher on Q1 2019 Results - Earnings Call Transcript,OCFC
13,"Thu, 25 Apr 2019 19:15:05 -0400","OceanFirst (OCFC) delivered earnings and revenue surprises of 0.00% and 1.07%, respectively, for the quarter ended March 2019. Do the numbers hold clues to what lies ahead for the stock?",Neutral,OceanFirst Financial (OCFC) Q1 Earnings Match Estimates,OCFC
14,"Thu, 18 Apr 2019 10:33:34 -0400",OceanFirst (OCFC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,OceanFirst Financial (OCFC) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,OCFC
15,"Mon, 01 Apr 2019 09:15:15 -0400","Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does OceanFirst Financial (OCFC) have what it takes?",Positive,This is Why OceanFirst Financial (OCFC) is a Great Dividend Stock,OCFC
