,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 06:50:54 -0500","Shares of PG&E Corp. PCG, -3.53% sank 3.2% in premarket trading Wednesday, after the San Francisco-based utility company said it will begin shutting off power to about 150,000 customers in 18 counties in an effort to reduce fire risk.",Negative,"PG&E to cut power to 150,000 customer for fire risk",PCG
1,"Tue, 19 Nov 2019 09:48:32 -0500",It’s the latest development in the PG&E saga.,Neutral,PG&E Reportedly Nears $1.7 Billion California Wildfires Settlement,PCG
2,"Tue, 19 Nov 2019 08:00:00 -0500",A large group of EV owners now pay 25% more for their electricity.  Here's why nobody got upset at a change that would drive gasoline consumers nuts,Neutral,PG&E Raises Costs for Electric Cars by 25%. Nobody Blinks.,PCG
3,"Fri, 15 Nov 2019 16:27:00 -0500","Good news helped lift markets, but these stocks did even better.",Positive,"Why J.C. Penney, Farfetch, and PG&E Jumped Today",PCG
4,"Fri, 15 Nov 2019 13:41:00 -0500",A prominent hedge fund manager upped his stake in the bankrupt utility.,Positive,Why Shares of PG&E Are Climbing Today,PCG
5,"Wed, 13 Nov 2019 13:05:26 -0500","PG&E's stock has been all over the place recently due to devastating fires throughout California. The stock could soon sink to zero, but what will become of the company if that happens?",Negative,PG&E Is Headed To Zero. Should Investors Get Out Now?,PCG
6,"Wed, 13 Nov 2019 10:48:35 -0500","As record wildfires in California become the new normal, the crisis continues to deepen for The Pacific Gas and Electric Company.",Negative,Putting Out Fires – Is Restructuring The Only Future For PG&E?,PCG
7,"Tue, 12 Nov 2019 16:30:00 -0500","Markets gave up much of their early gains, but these stocks still held strong.",Positive,"Why Amarin, Ladenburg Thalmann Financial Services, and PG&E Jumped Today",PCG
8,"Tue, 12 Nov 2019 13:31:00 -0500",The utility is reportedly sweetening its compensation offer for fire victims.,Positive,Why Shares of PG&E Are Surging Today,PCG
9,"Tue, 12 Nov 2019 08:29:00 -0500","Look beyond the headlines and you'll find that this distressed utility has the hallmarks of a spectacular Warren Buffett ""coup.""",Neutral,The Next Big Berkshire Hathaway Acquisition Is Hiding in Plain Sight,PCG
10,"Mon, 11 Nov 2019 18:33:43 -0500","Bankrupt California power producer PG&E Corp is offering $13.5 billion in compensation to wildfire victims as part of a restructuring plan, Bloomberg reported on Monday, citing people with knowledge of the situation.",Neutral,PG&E to offer $13.5 billion in compensation to wildfire victims: Bloomberg,PCG
11,"Fri, 08 Nov 2019 10:10:50 -0500",PG&E Corporation (NYSE: PCG) shares jumped 5.6% on Friday morning after Bank of America analyst Julien Dumoulin-Smith reported on a new meeting with senior PG&E management.,Negative,Analyst Provides PG&E Bankruptcy Update After Meeting With Company Management,PCG
12,"Thu, 07 Nov 2019 14:04:00 -0500","Total 2019 expenses will come in much higher than expected, a fresh complication to the utility's effort to restructure.",Negative,Why Shares of PG&E Are Plunging Today,PCG
13,"Thu, 07 Nov 2019 11:00:55 -0500","Power company PG&E Corp on Thursday raised its 2019 costs estimates by more than 50% related to deadly wildfires in California and its bankruptcy, sending its shares down nearly 6%.",Negative,Power provider PG&E Corp raises 2019 cost estimates by over 50%; shares fall,PCG
14,"Thu, 07 Nov 2019 10:52:00 -0500",PG&E filed for bankruptcy in January to deal with an estimated $30 billion in liabilities from wildfires that its equipment may have ignited in 2017 and 2018.,Negative,PG&E expects more than $6 billion in wildfire costs,PCG
15,"Thu, 07 Nov 2019 10:15:21 -0500","When PG&E Corp. (NYSE: PCG) reported fiscal third-quarter results before markets opened Thursday, the embattled utility company posted adjusted diluted earnings per share (EPS) of $1.11 on revenues of $4.43 billion.",Negative,"PG&E Earnings Overshadowed by Bankruptcy, Fires",PCG
16,"Thu, 07 Nov 2019 10:15:04 -0500","PG&E (PCG) delivered earnings and revenue surprises of 12.12% and 0.91%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,PG&E (PCG) Q3 Earnings and Revenues Beat Estimates,PCG
17,"Thu, 07 Nov 2019 10:03:00 -0500",Investors need to pay close attention to PG&E (PCG) stock based on the movements in the options market lately.,Neutral,Implied Volatility Surging for PG&E (PCG) Stock Options,PCG
18,"Thu, 07 Nov 2019 09:07:31 -0500","Shares of PG&E Corp. PGE, +3.53% sank 3.5% in premarket trading Thursday after the utility swung to a large third-quarter loss, citing charges for claims related to wildfires and raised its outlook for full-year charges, but also beat earnings expectations when excluding those charges.",Negative,"PG&E swings to loss on $2.5 billion wildfire-related charges, raises full-year outlook for charges",PCG
19,"Thu, 07 Nov 2019 06:00:00 -0500",The crises facing this California utility should serve as a cautionary tale for any potential utility investors.,Negative,PG&E's Bankruptcy: A Bad Sign for American Utilities,PCG
20,"Wed, 06 Nov 2019 11:40:00 -0500",A proposal gaining traction with California lawmakers would further complicate the utility's restructuring.,Negative,Why Shares of PG&E Are Down Today,PCG
21,"Wed, 06 Nov 2019 08:00:00 -0500","California-based utility company PG&E (NYSE: PCG) saw its stock rally by around 75% over the last week, due to some positive developments in its bankruptcy process. While the company proposed a reorganization program that would retain some shareholder value.",Positive,Why Did PG&E Stock Rally 75% Over The Last Week?,PCG
22,"Tue, 05 Nov 2019 12:55:20 -0500","California Gov. Gavin Newsom on Nov. 1 stated if utility company PG&E Corporation (NYSE: PCG) is unable to ""secure its own fate and future,"" then the state will ""do the job for them"" in the wake of wildfires.",Neutral,Analyst On PG&E Stakeholders: 'Someone Needs To Compromise',PCG
23,"Mon, 04 Nov 2019 16:45:00 -0500",The bankrupt utility stock continues to be up and down.,Positive,Why Shares of PG&E Spiked Today,PCG
24,"Fri, 01 Nov 2019 17:41:47 -0400",California Governor Gavin Newsom said he will convene a meeting of PG&E shareholders and executives in Sacramento next week to speed up the resolution of the bankruptcy case that creates a new entity.,Neutral,"California Governor to convene meet of PG&E shareholders, execs next week",PCG
25,"Fri, 01 Nov 2019 17:12:00 -0400",California Gov. Gavin Newsom wants to speed up the troubled Pacific Gas & Electric bankruptcy case so the company can be restructured in time for next year's wildfire season.,Neutral,"California governor plans meeting of PG&E leaders, shareholders, creditors to speed bankruptcy fix",PCG
26,"Fri, 01 Nov 2019 13:41:00 -0400","Buffett is holding so much cash on the Berkshire Hathaway balance sheet a shareholder sold the stock citing ""thumbsucking."" An obvious solution would be to buy utilities where consolidation is needed and Berkshire is huge.",Neutral,Pleas for Warren Buffett to buy PG&E point to the big risks in the Berkshire cash puzzle,PCG
27,"Fri, 01 Nov 2019 11:03:00 -0400",PG&E (PCG) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,Positive,Why PG&E (PCG) Might Surprise This Earnings Season,PCG
