,date,text,sentiment,title,Ticker
0,"Fri, 01 Nov 2019 11:14:06 -0400",Piper Jaffray Companies (PJC) CEO Chad Abraham on Q3 2019 Results - Earnings Call Transcript,Neutral,Piper Jaffray Companies (PJC) CEO Chad Abraham on Q3 2019 Results - Earnings Call Transcript,PJC
1,"Wed, 16 Oct 2019 10:11:00 -0400","Piper Jaffray Companies (PJC) could be a stock to avoid from a technical perspective, as the firm is seeing unfavorable trends on the moving average crossover front.",Neutral,Moving Average Crossover Alert: Piper Jaffray,PJC
2,"Fri, 26 Jul 2019 10:29:08 -0400",Piper Jaffray Companies (PJC) CEO Chad Abraham on Q2 2019 Results - Earnings Call Transcript,Neutral,Piper Jaffray Companies (PJC) CEO Chad Abraham on Q2 2019 Results - Earnings Call Transcript,PJC
3,"Thu, 25 Jul 2019 15:18:26 -0400","On Friday, July 26, Piper Jaffray (NYSE: PJC) will release its latest earnings report.",Neutral,A Preview Of Piper Jaffray's Q2 Earnings,PJC
4,"Thu, 25 Jul 2019 09:34:00 -0400",Unfavorable trading environment and decline in M&A activities are likely to impede revenue growth of investment brokers in Q2.,Neutral,"Investment Brokers' Q2 Earnings to Watch: PJC, WETF, SF",PJC
5,"Fri, 19 Jul 2019 10:30:36 -0400",Piper Jaffray (PJC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,Piper Jaffray (PJC) Earnings Expected to Grow: What to Know Ahead of Q2 Release,PJC
6,"Wed, 10 Jul 2019 09:35:00 -0400",Piper Jaffray's (PJC) acquisition of Sandler O'Neill will be earnings accretive and expand its M&A business.,Positive,Piper Jaffray Inks Deal to Acquire Sandler O'Neill for $485M,PJC
7,"Tue, 09 Jul 2019 10:14:40 -0400","Piper Jaffray Companies (NYSE: PJC) said Tuesday it will acquire Sandler O’Neill + Partners, L.P.",Neutral,Piper Jaffray To Acquire Sandler O'Neill For $485M,PJC
8,"Tue, 09 Jul 2019 07:37:00 -0400","Piper Jaffray and Sandler O’Neill announced a merger agreement worth $485 million on Tuesday in a combination of two smaller, but prominent Wall Street investment banks.",Positive,"Two smaller, but well known Wall Street firms are merging: Piper Jaffray to buy Sandler O'Neill",PJC
9,"Tue, 09 Jul 2019 07:33:13 -0400",Piper Jaffray Cos. and Sandler O'Neill + Partners said Tuesday they have agreed to merge in a deal with a value of $485 million.,Neutral,Piper Jaffray and Sandler O'Neill to merge in deal valued at $485 million,PJC
10,"Tue, 25 Jun 2019 15:10:00 -0400","Piper Jaffray (PJC) stock is worth considering now, given its solid prospects and favorable operating backdrop.",Positive,5 Reasons That Make Piper Jaffray (PJC) Investment Worthy,PJC
11,"Mon, 17 Jun 2019 08:02:00 -0400","Piper Jaffray has been struggling lately, but the selling pressure may be coming to an end soon.",Positive,Piper Jaffray Sees Hammer Chart Pattern: Time to Buy?,PJC
12,"Fri, 26 Apr 2019 14:36:29 -0400",Piper Jaffray Companies (PJC) CEO Chad Abraham on Q1 2019 Results - Earnings Call Transcript,Neutral,Piper Jaffray Companies (PJC) CEO Chad Abraham on Q1 2019 Results - Earnings Call Transcript,PJC
