,date,text,sentiment,title,Ticker
0,"Thu, 14 Nov 2019 09:45:00 -0500",Pinnacle Financial (PNFP) stock may be a good choice for value-oriented investors right now from multiple angles.,Positive,Is Pinnacle Financial (PNFP) a Good Pick for Value Investors?,PNFP
1,"Fri, 25 Oct 2019 11:45:35 -0400","Pinnacle delivered a nice core beat in the third quarter, with the beat driven by strong fee growth from the BHG healthcare lending operation.",Positive,Pinnacle Standing Out In A Crowded Field,PNFP
2,"Wed, 16 Oct 2019 17:55:06 -0400","Pinnacle Financial Partners, Inc. (PNFP) CEO Michael Terry Turner on Q3 2019 Results - Earnings Call Transcript",Neutral,"Pinnacle Financial Partners, Inc. (PNFP) CEO Michael Terry Turner on Q3 2019 Results - Earnings Call Transcript",PNFP
3,"Tue, 15 Oct 2019 18:55:02 -0400","Pinnacle Financial (PNFP) delivered earnings and revenue surprises of 7.46% and 4.35%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Pinnacle Financial (PNFP) Surpasses Q3 Earnings and Revenue Estimates,PNFP
4,"Mon, 14 Oct 2019 12:08:25 -0400","These 7 growth stocks remain positioned for significant future increases, and could bring huge returns to new investors for years to come.",Positive,7 Under-The-Radar Growth Stocks That Could Benefit New Investors,PNFP
5,"Tue, 08 Oct 2019 10:30:25 -0400",Pinnacle Financial (PNFP) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,Pinnacle Financial (PNFP) Earnings Expected to Grow: Should You Buy?,PNFP
6,"Fri, 13 Sep 2019 09:40:11 -0400",PNFP vs. CHCO: Which Stock Is the Better Value Option?,Neutral,PNFP vs. CHCO: Which Stock Is the Better Value Option?,PNFP
7,"Wed, 28 Aug 2019 09:40:06 -0400",PNFP vs. CHCO: Which Stock Is the Better Value Option?,Neutral,PNFP vs. CHCO: Which Stock Should Value Investors Buy Now?,PNFP
8,"Mon, 05 Aug 2019 07:43:00 -0400","With trade tensions likely to continue, investing in U.S.-focused industries such as regional banks and homebuilders looks prudent.",Positive,5 U.S.-Focused Stocks to Buy on Fresh Trump Tariffs,PNFP
9,"Tue, 23 Jul 2019 09:30:09 -0400",PNFP vs. CHCO: Which Stock Is the Better Value Option?,Neutral,PNFP or CHCO: Which Is the Better Value Stock Right Now?,PNFP
10,"Mon, 22 Jul 2019 08:45:07 -0400",Pinnacle Financial (PNFP) could produce exceptional returns because of its solid growth attributes.,Positive,"Is Pinnacle Financial (PNFP) a Solid Growth Stock? 3 Reasons to Think "" Yes """,PNFP
11,"Wed, 17 Jul 2019 22:35:35 -0400","Pinnacle Financial Partners, Inc. (PNFP) CEO Terry Turner on Q2 2019 Results - Earnings Call Transcript",Neutral,"Pinnacle Financial Partners, Inc. (PNFP) CEO Terry Turner on Q2 2019 Results - Earnings Call Transcript",PNFP
12,"Tue, 16 Jul 2019 18:55:03 -0400","Pinnacle Financial (PNFP) delivered earnings and revenue surprises of 10.94% and 3.74%, respectively, for the quarter ended June 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Pinnacle Financial (PNFP) Surpasses Q2 Earnings and Revenue Estimates,PNFP
13,"Tue, 28 May 2019 11:12:00 -0400",Let's see if Pinnacle Financial Partners (PNFP) stock is a good choice for value-oriented investors right now from multiple angles.,Neutral,Should Value Investors Pick Pinnacle Financial (PNFP) Stock?,PNFP
14,"Tue, 16 Apr 2019 13:41:13 -0400","Pinnacle Financial Partners, Inc. (PNFP) CEO Terry Turner on Q1 2019 Results - Earnings Call Transcript",Neutral,"Pinnacle Financial Partners, Inc. (PNFP) CEO Terry Turner on Q1 2019 Results - Earnings Call Transcript",PNFP
15,"Mon, 15 Apr 2019 19:05:02 -0400","Pinnacle Financial (PNFP) delivered earnings and revenue surprises of 2.48% and -2.56%, respectively, for the quarter ended March 2019. Do the numbers hold clues to what lies ahead for the stock?",Neutral,Pinnacle Financial (PNFP) Q1 Earnings Surpass Estimates,PNFP
16,"Mon, 08 Apr 2019 10:30:18 -0400",Pinnacle Financial (PNFP) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,Pinnacle Financial (PNFP) Reports Next Week: Wall Street Expects Earnings Growth,PNFP
17,"Sun, 09 Dec 2018 19:00:00 -0500","Sally Pope Davis, managing director with Goldman Sachs Asset Management, talks with CNBC's ""Power Lunch"" team about small-cap strategy.",Neutral,"Choose small-cap companies with good business model, says Sally Pope Davis",PNFP
