,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 22:15:05 -0500","Forget dishes, toasters and school supplies. Target customers are now buying their clothes at the discounter — and lots of it.",Positive,Strong apparel sales boost Target shares nearly 15%,TGT 
1,"Wed, 20 Nov 2019 21:22:00 -0500","Or, How I Survived the Retail Apocalypse.",Positive,Why These 2 Stocks Rose While the Market Dived on Wednesday,TGT 
2,"Wed, 20 Nov 2019 18:42:26 -0500","The ""Fast Money"" traders talk Target after the company reported a blowout quarter.",Positive,Target soars after earnings: 3 trades,TGT 
3,"Wed, 20 Nov 2019 18:19:38 -0500","Target had a strong earnings report this morning and the stock was way up as a result. With CNBC's Melissa Lee and the Fast Money traders, Pete Najarian, Mark Tepper, Karen Finerman and Guy Adami.",Positive,Target's hefty price tag,TGT 
4,"Wed, 20 Nov 2019 16:37:00 -0500","Target's earnings beat pushed the stock to new heights Wednesday, and industry leaders say it's a sign of underlying strength in the U.S. economy.",Positive,Target soars 14% on earnings—Jim Cramer and other pros on what to watch now,TGT 
5,"Wed, 20 Nov 2019 16:35:33 -0500",Target and Lowes report beats on earnings and appears to be the stand-out amongst an otherwise dismal retail climate.,Positive,Target and Lowes beat on earnings,TGT 
6,"Wed, 20 Nov 2019 16:25:00 -0500",Trade headlines steal the show as Target gaps up on earnings while Incyte and ServiceNow clear resistance.,Positive,Investor's Business Daily's STOCK MARKET TODAY (Nov 20),TGT 
7,"Wed, 20 Nov 2019 14:42:07 -0500","Ed Yruma, equity research analyst with KeyBanc Capital Markets, joins CNBC's ""Power Lunch"" team breaks down the retail sector as Target hits a new all-time high.",Positive,Target's found its lane and it's made them very powerful: Analyst,TGT 
8,"Wed, 20 Nov 2019 14:24:22 -0500","Target (TGT) earnings for the retail company's third quarter of 2019 have TGT stock soring Wednesday on strong results for the period.
The post Target Earnings: TGT Stock Takes 13% Gain on Big Q3 Beat appeared first on InvestorPlace.",Positive,Target Earnings: TGT Stock Takes 13% Gain on Big Q3 Beat,TGT 
9,"Wed, 20 Nov 2019 14:20:42 -0500","Target raised its full-year earnings forecast on Wednesday, signaling a strong holiday season as the retailer benefits from its investments in same-day delivery services and store revamps, sending its shares up 9 percent. The big-box retailer’s better-than-expected quarterly results and forecast also helped allay fears about the health of the US consumer that were spurred.",Positive,Target shares spike on strong holiday season outlook,TGT 
10,"Wed, 20 Nov 2019 13:23:00 -0500",Target's stock has topped even the strong performances of Walmart and TJX Companies.,Positive,"How Target became the retail trade of the year, with the stock up nearly 90%",TGT 
11,"Wed, 20 Nov 2019 13:06:37 -0500",Target Corporation (TGT) CEO Brian Cornell on Q3 2019 Results - Earnings Call Transcript,Neutral,Target Corporation (TGT) CEO Brian Cornell on Q3 2019 Results - Earnings Call Transcript,TGT 
12,"Wed, 20 Nov 2019 12:31:21 -0500","Kari Firestone, Aureus Asset Management, joins 'Fast Money Halftime Report' to discuss retail earnings and who's doing stronger than others.",Positive,Target best traditional retailer in the online space: Kari Firestone,TGT 
13,"Wed, 20 Nov 2019 12:28:00 -0500",The cheap-chic retailer turned in another strong earnings report.,Positive,Why Target Shares Popped Today,TGT 
14,"Wed, 20 Nov 2019 12:01:51 -0500","Target Corporation (NYSE: TGT) saw its stock surge Wednesday morning, Nov. 20, after the retailer reported sales growth and traffic surges for both its physical stores and its digital offerings for the third quarter of 2019.",Positive,Target's Stock Surges After Third Quarter Earnings Beat,TGT 
15,"Wed, 20 Nov 2019 11:51:00 -0500","While Walmart is finding strength in grocery, Target is in apparel.",Positive,"Target's apparel sales are on fire, and that's bad news for everyone else",TGT 
16,"Wed, 20 Nov 2019 11:35:02 -0500","While Amazon.com Inc. races to get purchases delivered to customers in a day, Target Corp.",Positive,"As Amazon races to deliver in a day, Target drives digital customers to stores",TGT 
17,"Wed, 20 Nov 2019 11:08:37 -0500",SUBSCRIBE TO SUCCEED!,Neutral,"Hitting the Target: What to Look For in Target, Lowe's Earnings",TGT 
18,"Wed, 20 Nov 2019 10:59:39 -0500","Target Corp  signaled a strong start to the holiday season and raised its full-year earnings forecast on Wednesday, betting on its aggressive push into faster delivery and investments in store revamps, sending its shares up 13%.",Positive,"Target sets upbeat holiday sales tone with raised forecast, shares surge",TGT 
19,"Wed, 20 Nov 2019 10:53:22 -0500","Gerald Storch, former Target vice chairman and CEO of Storch Advisors, and Paul Trussell, Deutsche Bank managing director, join ""Squawk on the Street"" to discuss retail earnings from Target, Lowe's and more.",Positive,Deutsche Bank's Paul Trussell says Target looks like a buy after strong earnings,TGT 
20,"Wed, 20 Nov 2019 10:50:03 -0500","Third-quarter earnings season has been rough for the U.S. retail sector, especially if you happen to be a Target Corporation (NYSE: TGT) short seller.",Positive,Target Shorts Take Big Hit Amid Profitable Earnings Season For Retail Short Sellers,TGT 
21,"Wed, 20 Nov 2019 10:36:00 -0500",Trade Concerns & Q3 Earnings Wrap-Up,Neutral,Trade Concerns & Q3 Earnings Wrap-Up,TGT 
22,"Wed, 20 Nov 2019 10:36:00 -0500","Optimism from the two of the nation's biggest retailers show that American consumers are not tightening their belts due to trade tariffs, says CNBC's Jim Cramer.",Positive,Cramer: Walmart and Target CEOs 'made me feel terrific' about US consumers despite trade tariffs,TGT 
