,date,text,sentiment,title,Ticker
0,"Tue, 19 Nov 2019 01:24:15 -0500","Toyota Motor Corp  on Tuesday said Japanese labor officials have found it responsible for the suicide of an employee, with the Mainichi Shimbun reporting that workplace bullying at the automaker had led to the employee's death.",Negative,Toyota says labor officials found it responsible for worker suicide,TM
1,"Mon, 18 Nov 2019 14:00:39 -0500","California said on Monday it will halt all purchases of new vehicles for state government fleets from GM, Toyota and Fiat Chrysler and other automakers backing President Donald Trump in a battle to strip the state of authority to regulate tailpipe emissions.",Neutral,"California to stop buying GM, Toyota and Fiat Chrysler vehicles over emissions fight",TM
2,"Mon, 18 Nov 2019 09:27:04 -0500",All the same tailwinds that started the EV revolution in the 2010's will sustain and accelerate that revolution in the 2020s.,Positive,5 EV Stocks to Buy for Big Gains over the Next Decade,TM
3,"Mon, 18 Nov 2019 07:00:00 -0500","Toyota vows to change the environmental conversation by offering millions of hybrid, plug-in hybrid, battery-electric and fuel-cell vehicles. Will the market respond?",Neutral,Toyota Plans To Change Environment Millions Of Hybrids At A Time,TM
4,"Sun, 17 Nov 2019 01:00:00 -0500","Jim Adler, Founding Managing Director of Toyota AI Ventures shared insights into the sort of investments Toyota AI Ventures is making in the industry, how the automotive industry is benefiting from these investments, and non-automotive related AI investments they make.",Neutral,Toyota AI Ventures Diversifies Investments - Insights From Jim Adler,TM
5,"Mon, 11 Nov 2019 16:54:38 -0500","Toyota's (NYSE: TM) hydrogen fuel-cell commercial vehicle prototypes keep rolling off the factory floor, but the automaker hasn't had the same luck pushing the boundaries on hydrogen fuel infrastructure.",Negative,Toyota Fuel-Cell Power Plant In Limbo After California Utility Withholds Support,TM
6,"Mon, 11 Nov 2019 10:14:00 -0500",ALG recognizes pre-owned vehicles predicted to retain the highest value; Toyota leads the pack with six vehicle segment awards,Neutral,Toyota and Lexus Win Overall Brand Honors in 4th Annual 2020 ALG Pre-Owned Value Awards,TM
7,"Fri, 08 Nov 2019 10:16:36 -0500","Yes, Toyota Motor Corporation (NYSE: TM), whose stock currently trades at around $140, is expected to see a modest growth of 4.2% to its Top line. The company generates its revenue primarily from its Automotive division which is projected to account for 93.1% of total revenues in FY 2020.",Positive,Toyota Motors To See Top Line Growth Amid Auto Industry Slowdown?,TM
8,"Fri, 08 Nov 2019 08:59:00 -0500","Bringing in pleasant news for investors, Toyota (TM) announces a $1.8-billion share buyback.",Negative,"Toyota (TM) Lags Q2 Earnings Estimates, Narrows Sales View",TM
9,"Thu, 07 Nov 2019 15:13:01 -0500",The two companies said that the new JV will be set up in China some time in 2020.,Positive,"BYD, Toyota Partner Up For New Electric Vehicles",TM
10,"Thu, 07 Nov 2019 14:29:00 -0500",A good quarter despite unfavorable exchange rates.,Positive,Toyota's Profit Rises 14% on Higher Sales and Cost Reductions,TM
11,"Thu, 07 Nov 2019 12:00:07 -0500",The Toyota Land Cruiser is one of the auto industry's longest lasting and most widely-known brands.,Negative,Why The Toyota Land Cruiser Is Disappearing From America,TM
12,"Thu, 07 Nov 2019 09:03:00 -0500",Toyota announced in June that it aimed to get half of its global auto sales from electric vehicles by 2025.,Positive,Buffett-backed BYD announces electric car partnership with Toyota,TM
13,"Thu, 07 Nov 2019 02:38:43 -0500","Toyota Motor Corp  unveiled plans for a $1.8 billion share buyback on Thursday, after reporting a more-than-expected quarterly profit on better global sales and an improvement in its North American business.",Positive,Toyota unveils $1.8 billion share buyback after strong second-quarter profits,TM
14,"Wed, 30 Oct 2019 11:08:00 -0400","General Motors, Toyota and Fiat Chrysler betray investors by siding with President Trump on revoking California's fuel efficiency standards, claims Scott Stringer, New York City's comptroller, who oversees $200 billion in New York City pension funds.",Negative,"Trump, GM, Toyota and Fiat Chrysler are holding us hostage to a dying planet",TM
15,"Mon, 28 Oct 2019 17:24:15 -0400","Major automakers including General Motors Co (GM.N), Toyota Motor Corp (7203.T), Hyundai Motor Co (005380.KS) and Fiat Chrysler Automobiles NV (FCHA.MI) are asking to intervene in a lawsuit filed by 23 U.S. states last month, the companies said on Monday.",Neutral,"GM, Toyota, Fiat Chrysler seek to intervene in California emissions suit",TM
16,"Fri, 25 Oct 2019 11:40:44 -0400","When Toyota Motor Corp launches its all-battery Lexus next year, the luxury model will be able to drive autonomously on highways, a big step for the Japanese automaker, which has so far trailed rivals in bringing self-driving cars to market.",Neutral,Toyota's not alone in the slow lane to self-driving cars,TM
17,"Wed, 23 Oct 2019 01:45:11 -0400","Toyota Motor's  Lexus will launch its first all-battery electric vehicle next year, as the luxury brand races to market a battery-operated car amid growing competition to develop zero-emissions vehicles, the head of the brand said on Wednesday.",Positive,Toyota's luxury Lexus brand plans battery EV launch in 2020,TM
18,"Tue, 22 Oct 2019 10:28:48 -0400","Solid-state batteries are the holy grail of battery technology for automakers, but it'll be a while before they reach production.",Positive,Toyota will use Tokyo Olympics to debut solid-state battery electric vehicle     - Roadshow,TM
19,"Thu, 17 Oct 2019 15:49:37 -0400","Toyota Motor Corp's  North America unit said on Thursday it was conducting the final phase of a safety recall to replace potentially faulty Takata airbag inflators in about 928,000 vehicles.",Negative,Toyota conducts final phase of recall to replace Takata airbag inflators,TM
20,"Thu, 17 Oct 2019 09:57:00 -0400","The profound transformation of the industry, including the push into electric, connected and autonomous vehicles that has caused the Japanese automotive giant to rethink a fundamental tenet of its long-term strategy.",Neutral,Toyota eyes former competitors as allies in electric car race,TM
21,"Fri, 11 Oct 2019 17:32:08 -0400","Toyota had a strong Q1 2020, posting a 3% unit growth rate and a 3.8% revenue growth rate over the prior period.",Positive,Toyota: The 'ICE To Hybrid To Pure EV' Play,TM
22,"Fri, 11 Oct 2019 13:57:00 -0400","Toyota promised years ago it would have self-driving service at the 2020 Olympics.  Instead, it has announced a very low speed athlete's shuttle with a human attendant on board, something that others had built by 2014.",Negative,Toyota Announces Disappointing Robo-Shuttle Service For 2020 Olympics,TM
23,"Fri, 11 Oct 2019 10:51:00 -0400","Toyota will launch an all-new, more stylish Mirai fuel cell sedan in late 2021 with 30% more range.",Positive,"Revamped Toyota Mirai Hydrogen Fuel Cell Sedan Arrives In Late 2020, Now With Style",TM
24,"Fri, 11 Oct 2019 10:20:22 -0400","Toyota unveiled a completely redesigned hydrogen-powered fuel cell sedan on Friday in its latest attempt to revive demand for the niche technology that it hopes will become mainstream. Japan’s biggest automaker has been developing fuel-cell vehicles for more than two decades, but the technology has been eclipsed by the rapid rise of rival battery-powered electric.",Positive,Toyota unveils revamped hydrogen sedan to take on Tesla,TM
25,"Fri, 11 Oct 2019 09:40:58 -0400","Toyota is doubling down on its prediction that the key to building a compelling car of the future will be creating a true connection between car and driver (or passenger, depending on whether or now you’re using autonomous mode). The car maker’s new LQ concept is an evolution fo the Concept-i vehicle it unveiled at […]",Positive,Toyota’s LQ concept car will make friends with you via its onboard AI,TM
26,"Fri, 11 Oct 2019 08:08:55 -0400","Toyota launched a new version of its hydrogen-powered vehicle on Friday, doubling down on its bet that fuel cells will help secure Toyota's future.",Positive,Toyota challenges Tesla with its revamped hydrogen fuel-cell car,TM
27,"Thu, 10 Oct 2019 11:36:00 -0400",Are either of these auto giants a good buy now?,Neutral,Better Buy: Toyota Motor vs. BMW AG,TM
28,"Wed, 09 Oct 2019 09:03:02 -0400","We’re still very much in the collaboration phase of autonomous driving, since it’s looking still quite a ways off from being anything consumers can use on the regular. That means there’s plenty of opportunity for things like the new “Autonomous Vehicle Computing Consortium” (AVCC) announced today to form.",Positive,"Toyota, GM, Nvidia, Bosch and others form new autonomous driving tech consortium",TM
29,"Wed, 09 Oct 2019 08:46:00 -0400",There's one big difference between these two global auto giants.,Neutral,Better Buy: Toyota Motor vs. Volkswagen AG,TM
