,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 19:52:54 -0500",Ford has finally joined the EV game with the debut of its all-electric Mustang Mach-E.,Neutral,How Tesla's Model Y Compares To Ford’s First EV,TSLA
1,"Wed, 20 Nov 2019 17:29:00 -0500","The heads of the National Transportation Safety Board (NTSB) and Highway Traffic Safety Administration (NHTSA) faced questions from senators who were, in turns, excited by the promise of self-driving cars, but concerned about safety.",Negative,Tesla and Uber draw scrutiny at Senate hearing on self-driving cars: 'That's not safe!',TSLA
2,"Wed, 20 Nov 2019 17:13:13 -0500",Tesla: Big Upside,Positive,Tesla: Big Upside,TSLA
3,"Wed, 20 Nov 2019 16:15:51 -0500","Elon Musk’s announcement of a factory in Germany took the industry by surprise, but the deal had been in the works for months.",Neutral,Tesla’s Winding Road to Berlin,TSLA
4,"Wed, 20 Nov 2019 14:51:04 -0500",Tesla's all-electric truck is expected to have all the top performance characteristics that Elon Musk's company can muster.,Neutral,Tesla Cybertruck: Is It A Monster Machine Or Sci-Fi Blunder?,TSLA
5,"Wed, 20 Nov 2019 13:28:53 -0500",Tesla Inc (NASDAQ: TSLA) has been hyping the Street for Thursday night’s Cybertruck reveal.,Neutral,What Tesla Analysts Are Saying Ahead Of Thursday's 'Cybertruck' Event,TSLA
6,"Wed, 20 Nov 2019 13:07:17 -0500","Democratic U.S. Senator Ed Markey asked Tesla Inc  on Wednesday to disable its ""Autopilot"" driver-assistance system until it installs new safeguards to prevent drivers from evading system limits that could let them fall asleep.",Negative,Tesla needs safeguards to prevent drivers from sleeping on 'Autopilot': U.S. senator,TSLA
7,"Wed, 20 Nov 2019 11:46:00 -0500",Morgan Stanley expects these companies will have strong annual growth for earnings or revenue over the next three years.,Positive,Amazon and Tesla are among Morgan Stanley's top 'secular growth' ideas,TSLA
8,"Wed, 20 Nov 2019 10:49:07 -0500",Tesla's Gigafactory 4 Is One Of Elon Musk's Smartest Moves,Positive,Tesla's Gigafactory 4 Is One Of Elon Musk's Smartest Moves,TSLA
9,"Wed, 20 Nov 2019 10:00:52 -0500",Its new cybertruck is just one of several reasons to be bullish on Tesla stock. The EV maker's positioned for cash flow growth.,Positive,Tesla’s New Pickup Could be a Much-Welcome Revenue Growth Trigger,TSLA
10,"Wed, 20 Nov 2019 07:05:46 -0500",Golden crosses and death crosses are common signals in technical analysis and refer to the relationship between short-term and long-term moving averages.,Positive,5 Auto and Transportation Stocks With Recent Golden Crosses,TSLA
11,"Wed, 20 Nov 2019 07:00:00 -0500","As Musk shows the world his vision for an electric Tesla pickup he's also stepping into a massive, lucrative vehicle segment that’s going to be tougher to crack than any he’s attempted before.",Neutral,Elon Musk’s ‘Cybertruck’ Will Thrill Tesla Fans But Its Pickup Market Potential Is A Puzzler,TSLA
12,"Wed, 20 Nov 2019 06:45:00 -0500","If Tesla is able to continue to execute and deliver on its promises, the next five years look good for the electric vehicle maker.",Positive,Where Will Tesla Be in 5 Years?,TSLA
13,"Tue, 19 Nov 2019 14:00:00 -0500","Tesla is essentially a giant electric platform and a software platform, says Nathan Furr, professor of strategy and innovation at INSEAD.",Positive,Core of Tesla is 'new architecture': Academic,TSLA
14,"Tue, 19 Nov 2019 12:27:30 -0500","Tesla stock's 20% post-earnings surge wasn’t because something stunning came out of the earnings report, but rather a really big short squeeze.",Positive,Tesla Flips Short Sellers on Their Heads,TSLA
15,"Tue, 19 Nov 2019 09:15:17 -0500",Tesla Inc (NASDAQ: TSLA) is gearing up to unveil what CEO Elon Musk calls its “best product ever” Thursday night in Los Angeles.,Neutral,What To Expect From Tesla's 'Cybertruck' Event,TSLA
16,"Tue, 19 Nov 2019 04:57:19 -0500","The world's biggest lithium-ion battery is about to get even bigger, with Tesla Inc. set to beef up capacity at the Hornsdale site in South Australia.",Positive,Tesla Set To Bulk Up The World's Largest Lithium-Ion Battery,TSLA
17,"Tue, 19 Nov 2019 04:03:00 -0500","Brian Gu, president of Xpeng Motors, predicted demand for electric vehicles will rise as countries implement carbon emission standards.",Positive,Tesla's presence could be a 'positive catalyst' for China's electric vehicle market,TSLA
18,"Mon, 18 Nov 2019 18:51:09 -0500","The ""Fast Money"" traders discuss the all-electric Mustang from Ford that will compete directly with Tesla.",Negative,Ford electrifies the Mustang: 5 trades,TSLA
19,"Mon, 18 Nov 2019 15:29:17 -0500","Yahoo Finance's Ines Ferre and Alexis Christoforous report on the Tesla supercharger fire in Parsippany, New Jersey.",Negative,Tesla supercharger catches fire in New Jersey,TSLA
20,"Mon, 18 Nov 2019 09:27:04 -0500",All the same tailwinds that started the EV revolution in the 2010's will sustain and accelerate that revolution in the 2020s.,Positive,5 EV Stocks to Buy for Big Gains over the Next Decade,TSLA
21,"Mon, 18 Nov 2019 08:34:00 -0500",Wawa says Tesla is investigating the cause of the fire.,Negative,Tesla Supercharger catches fire at a Wawa store in New Jersey,TSLA
22,"Mon, 18 Nov 2019 07:41:02 -0500","Shares of Tesla Inc. TSLA, +0.81% tacked on 0.3% in premarket trading Monday, after Deutsche Bank analyst Emmanuel Rosner raised his price target by 12% ahead of the unveiling of its new electric pickup truck later this week, but the target remained well below current levels.",Positive,"Tesla's stock ticks up after Deutsche Bank lifts price target, which implies an 18% decline",TSLA
23,"Sat, 16 Nov 2019 10:31:00 -0500",The electric-car company will finally unveil the truck next week. Here's what Elon Musk has said about the vehicle.,Neutral,What We Know About Tesla's Pickup Truck,TSLA
24,"Fri, 15 Nov 2019 11:35:43 -0500","TSLA seemed all but hopeless not long ago.  But yet again, Elon Musk has found a way to prove his critics wrong, as seen with the latest earnings report which boosted Tesla stock.",Positive,Why Artificial Intelligence Is a Secret Weapon for Tesla Stock,TSLA
