,date,text,sentiment,title,Ticker
0,"Mon, 18 Nov 2019 09:11:00 -0500",TELUS (TU) unveils LTE-based connectivity solutions in Quebec's Lower North Shore to foster local business and regional economic development with seamless accessibility of wireless network services.,Positive,TELUS Boosts LTE Wireless Solutions in Quebec's North Shore,TU
1,"Fri, 15 Nov 2019 12:00:00 -0500","Thanks to new innovative TELUS high speed connectivity, families and businesses between Blanc-Sablon and Pakua Shipu now have access to the tools they need to reach their full potential",Neutral,Historic moment: Quebec’s Lower North Shore digitally transformed with the deployment of TELUS high speed network,TU
2,"Wed, 13 Nov 2019 08:35:00 -0500",TELUS' (TU) planned investment is part of its commitment to invest $4.7 billion throughout British Columbia between 2017 and 2020.,Positive,TELUS to Launch Wireless Services in Ahousaht This December,TU
3,"Tue, 12 Nov 2019 12:00:00 -0500","VANCOUVER, British Columbia, Nov.  12, 2019  (GLOBE NEWSWIRE) -- TELUS has invested more than $500,000 to build a new cell site in Ahousaht, a remote community off the west coast of Tofino on Vancouver Island, and is the first provider to bring high-speed wireless voice, text and Internet service to the community. Construction on the cell tower is nearing completion and TELUS anticipates the site will be live this December, providing residents and visitors in the area access to TELUS’ 4G LTE network, which has earned global recognition as the best network in Canada from third party organizations including OpenSignal, J.D. Power, Tutela, and Ookla.",Neutral,"TELUS invests more than $500,000 to bring wireless service to Ahousaht for the first time",TU
4,"Sun, 10 Nov 2019 10:00:00 -0500","BCE, AT&T, and Telus are positioned to deliver a combination of stability and upside potential for your portfolio, thanks to financial health, market leadership, network investment, and healthy dividends.",Positive,Every Investor Should Consider These 3 Telecom Stocks,TU
5,"Fri, 08 Nov 2019 08:13:00 -0500","TELUS' (TU) third-quarter results reflect customer growth across its wireless and wireline business segments, driven by mobile phone and wireline additions, and rise in connected device subscribers.",Neutral,"TELUS (TU) Q3 Earnings Surpass Estimates, Revenues Miss",TU
6,"Thu, 07 Nov 2019 13:58:06 -0500",TELUS Corporation (TU) CEO Darren Entwistle on Q3 2019 Results - Earnings Call Transcript,Neutral,TELUS Corporation (TU) CEO Darren Entwistle on Q3 2019 Results - Earnings Call Transcript,TU
7,"Thu, 07 Nov 2019 10:55:05 -0500","Telus (TU) delivered earnings and revenue surprises of 3.57% and -2.58%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Telus (TU) Q3 Earnings Surpass Estimates,TU
8,"Thu, 07 Nov 2019 06:47:00 -0500","VANCOUVER, British Columbia, Nov.  07, 2019  (GLOBE NEWSWIRE) -- NOTICE IS HEREBY GIVEN that the Board of Directors has declared a quarterly dividend of $0.5825 Canadian per share on the issued and outstanding Common shares payable on January 2, 2020 to holders of record at the close of business on December 11, 2019.",Neutral,TELUS Corporation Notice of Cash Dividend,TU
9,"Wed, 06 Nov 2019 08:30:00 -0500",Proudly offering the most innovative connected technologies Proudly offering the most innovative connected technologies,Neutral,TELUS expands smart home and connected business product suite with acquisition of ADT Canada,TU
10,"Fri, 25 Oct 2019 09:30:23 -0400",TU vs. BCE: Which Stock Is the Better Value Option?,Neutral,TU vs. BCE: Which Stock Should Value Investors Buy Now?,TU
11,"Tue, 22 Oct 2019 15:00:00 -0400",Une technologie qui permet aux entreprises canadiennes de taille moyenne de détecter rapidement les menaces informatiques et de les contrer efficacement,Neutral,Lancement du service de cybersécurité Détection et réponse gérées de TELUS,TU
12,"Tue, 22 Oct 2019 15:00:00 -0400",This new service provides mid-size Canadian organizations with technology that delivers rapid detection and targeted response to cyber security threats,Neutral,TELUS launches new cyber security service for Canadian businesses: Managed Detection and Response (MDR),TU
13,"Wed, 09 Oct 2019 10:00:00 -0400",The TELUS Wise happiness workshop gives young Canadians information and resources to help them build a healthy relationship with technology in our all-connected world The TELUS Wise happiness workshop gives young Canadians information and resources to help them build a healthy relationship with technology in our all-connected world,Neutral,TELUS puts students’ digital well-being first with new workshop,TU
14,"Thu, 26 Sep 2019 08:30:00 -0400",Josh Blair laissera son poste à TELUS à la fin de l’année; il continuera de présider le conseil d’administration de TELUS International et deviendra président émérite de celui de TELUS Santé Josh Blair laissera son poste à TELUS à la fin de l’année; il continuera de présider le conseil d’administration de TELUS International et deviendra président émérite de celui de TELUS Santé,Neutral,TELUS annonce un changement à son équipe de direction,TU
15,"Thu, 26 Sep 2019 08:30:00 -0400",Josh Blair will leave TELUS at the end of the year; will continue to serve as Chair of TELUS International and become Chair Emeritus of TELUS Health Josh Blair will leave TELUS at the end of the year; will continue to serve as Chair of TELUS International and become Chair Emeritus of TELUS Health,Neutral,TELUS Announces Leadership Change,TU
16,"Wed, 25 Sep 2019 08:26:00 -0400","TELUS' (TU) PureFibre optic network and world-leading wireless capacity will help enterprises to compete globally, and service providers to deliver better health, education and social outcomes.",Neutral,TELUS to Invest $16B in Alberta for Network Infrastructure,TU
