,date,text,sentiment,title,Ticker
0,"Tue, 19 Nov 2019 14:27:27 -0500",Under Armour: No Basis For Accounting Probe Fears,Positive,Under Armour: No Basis For Accounting Probe Fears,UA
1,"Mon, 18 Nov 2019 20:46:00 -0500","One company considered to be a marijuana stock was burned, as was a familiar consumer goods name embroiled in controversy.",Negative,2 Stocks That Got Punched on Monday,UA
2,"Fri, 15 Nov 2019 14:54:00 -0500","Technical analysis works better in more bullish environments, and that's great news for these 7 stocks with favorable technicals.",Positive,7 Stocks to Buy With Great Charts,UA
3,"Fri, 15 Nov 2019 08:18:02 -0500","Under Armour Inc. UA, -0.70% UAA, -0.64% has issued a statement in response to a Wall Street Journal story, maintaining that its accounting practices have been ""entirely appropriate.",Neutral,Under Armour contends after Wall Street Journal report that accounting practices have been 'entirely appropriate',UA
4,"Fri, 15 Nov 2019 08:15:00 -0500","Under Armour borrowed business from future quarters to hide slowing demand in 2016, the Wall Street Journal reported.",Negative,Under Armour reportedly borrowed business from future quarters in 2016 to hide slowing demand,UA
5,"Thu, 14 Nov 2019 06:33:34 -0500",McDonalds: Manageable risk. Nike: Mission-crippling risk.,Neutral,"Ranking McDonald’s, Nike And Under Armour’s New CEOs’ Chances Of Success",UA
6,"Tue, 12 Nov 2019 12:08:50 -0500",Under Armour's stock took a nosedive after it lowered its full-year revenue outlook and said federal investigators are looking into its accounting practices. Can the sports apparel stock recover?,Negative,Under Armour Under Investigation: What Does It Mean for Its Stock?,UA
7,"Mon, 11 Nov 2019 10:52:25 -0500",Investors in this sports retailer being investigated for accounting issues may want to reconsider holding the stock.,Negative,The F-Word: Why Under Armour Stock Likely Headed Lower,UA
8,"Fri, 08 Nov 2019 14:07:37 -0500","Dirty laundry or false alarm? The verdict's still out, but it's definitely trouble the struggling company doesn't need.",Negative,Under Armour's Under Investigation,UA
9,"Thu, 07 Nov 2019 09:39:08 -0500","Under Armour Inc. UA, +1.21% UAA, +1.05% said Thursday that it's launching a new lineup of Project Rock gear in honor of Veterans Day.",Positive,"Under Armour launching Veterans Day collection with Dwayne ""The Rock"" Johnson",UA
10,"Wed, 06 Nov 2019 14:32:25 -0500",Raymond James makes an astounding prediction.,Positive,Can Under Armour Earnings Grow 40% a Year? 1 Analyst Thinks So,UA
11,"Wed, 06 Nov 2019 11:01:08 -0500",Under Armour Inc (NASDAQ: UAA) shares are recovering slightly after suffering a massive drop Monday after the company confirmed it's facing an investigation by the Securities and Exchange Commission and Justice Department into its accounting practices.,Negative,What The Street Thinks Of Under Armour's Q3 Beat As Accounting Investigation Continues,UA
12,"Tue, 05 Nov 2019 17:10:37 -0500","The ""Halftime Report"" traders debate Barid's call to downgrade Under Armour",Negative,Under Armour downgraded to neutral from outperform at Baird,UA
13,"Tue, 05 Nov 2019 14:48:14 -0500","Under Armour Inc (NASDAQ: UAA) reported a solid third-quarter earnings beat Monday, but was any upside was drowned out by the news that the company's accounting is the subject of a probe by the SEC and Justice Department.",Negative,'Significant Risk': Under Armour Analysts On Federal Investigation Of Apparel Company's Accounting,UA
14,"Tue, 05 Nov 2019 11:33:42 -0500","Accounting probes, a North American slowdown, direct-to-consumer sluggishness, and dismal guidance all add up to a bearish feast.",Negative,Under Armour Plunges on a Quadruple Whammy of Bad News,UA
15,"Tue, 05 Nov 2019 10:22:53 -0500",A year that got off to a promising start hit its low point this year for Under Armour Inc (NYSE: UAA) (NYSE: UA) after the company cut its full-year guidance and disclosed that both the Securities and Exchange Commission and the Justice Department are investigating whether or not the company used misleading accounting practices.,Negative,Under Armour Short Sellers Bank $160M Off Accounting Probe News,UA
16,"Tue, 05 Nov 2019 08:31:51 -0500","UAA stock has plunged to 2019 lows, but the fundamentals, optics, and technicals of Under Armour stock all imply that a recovery rally is on the way. 
The post 3 Reasons to Buy Under Armour Stock on Weakness appeared first on InvestorPlace.",Positive,3 Reasons to Buy Under Armour Stock on Weakness,UA
17,"Tue, 05 Nov 2019 08:10:00 -0500","Goldman Sachs is sticking with its buy rating on Under Armour, even after shares plunged on Monday.",Positive,Goldman says buy the Under Armour dip: 'Long-term thesis intact',UA
18,"Tue, 05 Nov 2019 07:46:11 -0500","Under Armour Inc. UA, -18.35% UAA, -18.92% was downgraded to neutral from outperform at Baird based on the uncertainty stemming from a federal investigation into the company's accounting practices, which was announced over the weekend.",Negative,Under Armour downgraded on uncertainty from federal accounting investigation,UA
19,"Tue, 05 Nov 2019 06:35:29 -0500","Shares in the company plunged over 18% on Monday, putting short sellers ""back in the black.""",Negative,Under Armour Shorts See 2019 Losses Erased With Stock Slump,UA
20,"Mon, 04 Nov 2019 21:36:00 -0500",A shocking admission and financial results slammed these two companies at the beginning of the week.,Negative,2 Stocks That Were Crushed on Monday,UA
21,"Mon, 04 Nov 2019 18:13:52 -0500",McDonald's CEO is out and UAA tumbles on an accounting probe.,Negative,It's a tale of two scandal stocks as McDonald's and Under Armour fall,UA
22,"Mon, 04 Nov 2019 16:46:51 -0500","Under Armour stock is sweating hard. Shares are plummeting, as investors are nervous about the federal investigation into how it does its accounting.",Negative,Under Armour stock plummets after news of federal accounting investigation,UA
23,"Mon, 04 Nov 2019 16:32:03 -0500",McDonald's and Under Armour sank even as stocks hit new highs. Here's what happened in the stock market today.,Negative,Stock Market Today: Controversies Hurt Under Armour and McDonald’s,UA
24,"Mon, 04 Nov 2019 16:05:53 -0500","Berkshire Hathaway, McDonald's, Under Armour and Bausch Health were our top stock trades from Monday. Here's a look at the charts.",Positive,"4 Top Stock Trades for Tuesday: MCD, UAA, Berkshire",UA
25,"Mon, 04 Nov 2019 14:29:18 -0500","Under Armour (UAA) earnings report for the athletic wear company's third quarter of 2019 have UAA stock taking a beating on Monday.
The post Under Armour Earnings: Why UAA Stock Is Plummeting 20% Today appeared first on InvestorPlace.",Negative,Under Armour Earnings: Why UAA Stock Is Plummeting 20% Today,UA
26,"Mon, 04 Nov 2019 12:38:41 -0500","Under Armour, Inc. (UAA) CEO Kevin Plank on Q3 2019 Results - Earnings Call Transcript",Neutral,"Under Armour, Inc. (UAA) CEO Kevin Plank on Q3 2019 Results - Earnings Call Transcript",UA
27,"Mon, 04 Nov 2019 12:12:10 -0500","Nov.04 -- Sam Poser, senior analyst at Susquehanna, discusses the probe by federal officials into accounting practices at Under Armour Inc.",Negative,Under Armour Shares Decline on U.S. Accounting Probe,UA
28,"Mon, 04 Nov 2019 12:05:00 -0500",Shares of the sports apparel company are down despite a strong third quarter. Here's why.,Negative,Why Under Armour Stock Fell Monday,UA
29,"Mon, 04 Nov 2019 10:57:00 -0500","Under Armour's third-quarter sales might have topped expectations, but one glaring shortcoming in Monday's release was the company's shoe sales.",Negative,Under Armour's shoes aren't cool right now,UA
30,"Mon, 04 Nov 2019 10:49:12 -0500","CNBC's Sara Eisen joins ""Squawk on the Street"" via phone to discuss the new probe into the company's accounting practices, which sent shares tumbling.",Negative,Questions mount over accounting probe into Under Armour,UA
31,"Mon, 04 Nov 2019 10:32:53 -0500","Shares of Under Armour plummeted more than 15 percent Monday after the sportswear maker cut its forecast for annual revenue for a second straight time, adding to its troubles after it disclosed a federal probe related to its accounting practices.",Negative,Under Armour sinks 15 percent on slashed revenue forecast,UA
32,"Mon, 04 Nov 2019 10:28:00 -0500",Difficult Times For McDonald's and Under Armour,Negative,Difficult Times For McDonald's and Under Armour,UA
33,"Mon, 04 Nov 2019 10:16:00 -0500","McDonald's CEO Steve Easterbrook has been forced out, and Under Armour finds itself under federal investigation.",Negative,"McDonald's (MCD), Under Armour (UAA) in Hot Water",UA
34,"Mon, 04 Nov 2019 10:15:02 -0500","Before the opening bell on Monday, Under Armour, Inc. (NYSE:UAA) released its third-quarter results.",Negative,Under Armour Falls Sharply Despite Earnings Beat,UA
35,"Mon, 04 Nov 2019 10:07:00 -0500",Under Armour (UAA) now envisions 2019 net revenues to be up approximately 2% versus the prior projection of 3-4% increase.,Negative,Under Armour (UAA) Stock Falls Despite Q3 Earnings Beat,UA
36,"Mon, 04 Nov 2019 09:37:00 -0500",Fox News senior judicial analyst discusses the Department of Justice’s investigation into Under Armour for alleged accounting malpractices.,Negative,Under Armour investigation ‘doesn’t look good’: Judge Napolitano,UA
37,"Mon, 04 Nov 2019 08:40:00 -0500","Under Armour Inc (NYSE: UA) reported third-quarter earnings of 23 cents per share Monday, which beat the analyst consensus estimate of 18 cents by 27.78%.",Positive,Under Armour Reports Q3 Earnings Beat As Accounting Investigation Looms,UA
38,"Mon, 04 Nov 2019 08:15:07 -0500","Under Armour (UAA) delivered earnings and revenue surprises of 27.78% and 1.53%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Under Armour (UAA) Surpasses Q3 Earnings and Revenue Estimates,UA
39,"Mon, 04 Nov 2019 07:55:19 -0500","Jamie Merriman, analyst at Bernstein, joins ""Squawk Box"" to discuss Under Armour's earnings results as the company faces federal investigation over its accounting practices.",Negative,Under Armour beats on both lines but cuts full year revenue outlook,UA
40,"Mon, 04 Nov 2019 07:50:07 -0500",Under Armour Inc. (NYSE: UAA) reported third-quarter 2019 results before markets opened Monday.,Negative,Why Under Armour Shares Are Plunging After Earnings,UA
41,"Mon, 04 Nov 2019 07:38:54 -0500","Under Armour Inc   on Monday cut its forecast for annual revenue for a second straight time, adding to its troubles after the sportswear maker disclosed a federal probe related to its accounting practices.",Negative,Under Armour cuts revenue forecast; federal probe weighs on shares,UA
42,"Mon, 04 Nov 2019 07:35:21 -0500","Stacey Widlitz of SW Retail Advisors discusses the federal probe of Under Armour's accounting practices, and the company's performance relative to its rivals, such as Nike, Puma and Adidas.",Neutral,Widlitz: Why didn't Under Armour disclose the accounting probe before?,UA
43,"Mon, 04 Nov 2019 07:34:57 -0500",The sportswear company confirmed on Sunday it is under criminal investigation by the Justice Department and U. S. Securities and Exchange Commission over allegations of improper accounting practices.,Negative,Under Armour Shares Down 15% In Pre-Market Trading Over Reports Of Federal Accounting Probe,UA
44,"Mon, 04 Nov 2019 07:13:32 -0500",Under Armour earnings beat Q3 views but guidance was weak. Under Armour stock fell as the athletic apparel maker confirmed it faces a federal accounting probe.,Negative,"Under Armour Stock Dives On Accounting Probe, Weak Guidance",UA
45,"Mon, 04 Nov 2019 07:13:07 -0500","Under Armour Inc. UA, +2.22% UAA, +2.37% shares sank 14.2% in Monday premarket trading after the company cut its guidance.",Negative,"Under Armour shares sink 14% after guidance cut, reports of federal accounting probe",UA
46,"Mon, 04 Nov 2019 06:40:00 -0500","Over the weekend, a report from The Wall Street Journal said Under Armour was facing a federal criminal investigation over accounting practices allegedly used to make its finances look healthier.",Neutral,Under Armour is about to report earnings. Here's what to expect,UA
47,"Mon, 04 Nov 2019 05:38:37 -0500","Under Armour's accounting practices are under investigation in the United States, heaping pressure on the struggling company as it seeks to reverse years of lackluster sales.",Neutral,Under Armour says US investigators are probing its accounting practices,UA
48,"Mon, 04 Nov 2019 05:17:03 -0500","Sportswear manufacturer Under Armour, Inc. (NYSE: UAA) is facing a federal investigation into its accounting practices, The Wall Street Journal reported on Sunday.",Negative,Under Armour Is Investigated For Accounting Fraud,UA
49,"Sun, 03 Nov 2019 17:27:00 -0500","The probe involves allegations that the company shifted sales between quarters in order to make its finances look healthier, according to The Journal.",Negative,Under Armour reportedly faces federal criminal investigation over its accounting practices,UA
50,"Sun, 03 Nov 2019 13:51:46 -0500","Under Armour, Inc. is scheduled to release earnings before Monday’s open.",Positive,Earnings Preview: What To Expect From Under Armour On Monday,UA
51,"Fri, 01 Nov 2019 08:54:00 -0400",Under Armour (UAA) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,Positive,Should You Buy Under Armour (UAA) Ahead of Earnings?,UA
52,"Thu, 31 Oct 2019 16:08:00 -0400","Under Armour (UAA) is set to report its third quarter results Monday, November 4, before the opening bell.",Negative,Under Armour (UAA) Q3 Earnings on Deck: Can the Company Take the Next Step?,UA
53,"Thu, 31 Oct 2019 09:06:00 -0400","The National Lacrosse League renewed its sponsorship deal with Team 22, the manufacturer of Under Armour lacrosse gear, for another three years as the league increasingly pairs with corporate partners to try to grow its revenues, and the sport, in the U.S.",Positive,National Lacrosse League strikes a three-year deal with Under Armour as it expands sport in US,UA
54,"Tue, 29 Oct 2019 10:01:00 -0400","The impact of lower revenues, any deleverage in SG&A expenses and adverse currency fluctuations might reflect in Under Armour's (UAA) bottom line.",Neutral,Factors Setting the Tone for Under Armour (UAA) Q3 Earnings,UA
55,"Mon, 28 Oct 2019 10:32:27 -0400",Under Armour (UAA) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,Under Armour (UAA) Expected to Beat Earnings Estimates: Should You Buy?,UA
56,"Mon, 28 Oct 2019 09:32:03 -0400","It will take more than an executive-level shuffle, but there's still plenty to like about UAA stock.
The post Will a CEO Change Reignite Under Armour Stock?",Neutral,Will a CEO Change Reignite Under Armour Stock?,UA
57,"Thu, 24 Oct 2019 18:05:31 -0400","Under Armour can call itself an athletic performance company. As long as it makes styles people want and can market them effectively, investors will be happy.",Positive,"Under Armour Finally Connected The Dots, And This Turnaround Is Just Getting Started",UA
