,date,text,sentiment,title,Ticker
0,"Tue, 12 Nov 2019 12:48:02 -0500",Shares of The Western Union Company (NYSE: WU) rallied 25% after the company reported strong third-quarter earnings and hosted a positive investor day Sept.,Negative,Guggenheim Downgrades Western Union After Rally,WU
1,"Fri, 01 Nov 2019 14:25:00 -0400",Western Union (WU) third-quarter results reflect growth in revenues and rise in expenses.,Negative,"Western Union (WU) Q3 Earnings Beat, Revenues Miss Estimates",WU
2,"Fri, 01 Nov 2019 14:00:25 -0400","The Western Union Company (NYSE: WU) reported third-quarter results, which sent the stock to a new 52-week high.",Negative,Analysts Stay Bearish On Western Union Despite New 52-Week Highs,WU
3,"Thu, 31 Oct 2019 22:28:06 -0400",The Western Union Company (WU) CEO Hikmet Ersek on Q3 2019 Results - Earnings Call Transcript,Neutral,The Western Union Company (WU) CEO Hikmet Ersek on Q3 2019 Results - Earnings Call Transcript,WU
4,"Thu, 31 Oct 2019 17:35:08 -0400","Western Union (WU) delivered earnings and revenue surprises of 4.26% and -0.47%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Western Union (WU) Q3 Earnings Surpass Estimates,WU
5,"Thu, 31 Oct 2019 09:55:45 -0400","The Western Union (NYSE: WU) will be releasing its next round of earnings this Thursday, October 31.",Positive,Preview: Western Union's Q3 Earnings,WU
6,"Wed, 30 Oct 2019 12:29:32 -0400",Western Union: A Cash Cow That Still Has Upside,Positive,Western Union: A Cash Cow That Still Has Upside,WU
7,"Wed, 30 Oct 2019 06:00:00 -0400","After this fall's Investor Day, I'm more excited than ever to be a Western Union shareholder. Here are the key things I'm watching.",Positive,Wired for Growth: Western Union Continues to Innovate,WU
8,"Fri, 25 Oct 2019 09:40:24 -0400",Investors looking for stocks to buy should always take a look at debt loads to make sure they won’t get blindsided by balance sheet issues at some point down the line.,Neutral,10 Stocks With The Highest Long-Term Debt Loads,WU
9,"Thu, 24 Oct 2019 10:32:41 -0400",Western Union (WU) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,Analysts Estimate Western Union (WU) to Report a Decline in Earnings: What to Look Out for,WU
10,"Thu, 24 Oct 2019 09:32:24 -0400","This firm has successfully adapted to numerous technological changes over its 150+ years of existence, and investors are underrating its resilience.",Positive,This Cash Cow Still Has Upside,WU
11,"Wed, 02 Oct 2019 07:44:00 -0400","Western Union (WU) expands its real-time payment service to accelerate international consumer, consumer-to-business and business-to-consumer payments to eligible accounts, cards and digital wallets.",Positive,Western Union Expands Real-Time Cross-Border Payment Service,WU
12,"Wed, 25 Sep 2019 09:00:00 -0400",Western Union's (WU) revamped growth strategy is backed by its ability to provide fast and reliable cross-border money transfer and payment solutions.,Neutral,Western Union (WU) Announces Overhaul of Long-Term Strategy,WU
13,"Thu, 19 Sep 2019 10:22:00 -0400",Western Union (WU) teams up with Amazon to provide payment services to online shoppers.,Positive,Western Union Partners Amazon for Cash Payments Facility,WU
14,"Thu, 19 Sep 2019 07:25:30 -0400","The stock charts of WU, SYY and HRB are poised to do their own thing, regardless of how the market responds to the rate cut.",Neutral,"3 Big Stock Charts for Thursday: Western Union, SYSCO and H & R Block",WU
15,"Wed, 18 Sep 2019 10:08:08 -0400","Amazon.com, Inc. (NASDAQ: AMZN) is launching a service, PayCode, that will allow its customers to choose “Amazon PayCode” at checkout and then pay for their purchases in cash at one of 15,000 The Western Union Company (NYSE: WU) locations.",Positive,Amazon's PayCode Will Allow Online Shoppers To Pay Cash Via Western Union,WU
16,"Wed, 18 Sep 2019 09:27:25 -0400","Amazon.com Inc. AMZN, +0.81% said Wednesday it is launching Amazon PayCode in the U.S.",Positive,Amazon launches pay-with-cash service in U.S. at Western Union locations; Western Union's stock surges,WU
17,"Fri, 13 Sep 2019 07:39:00 -0400",Western Union (WU) ties up with Paramount Commerce to enable online account-funded money transfers.,Positive,Western Union to Expand in Canada With Paramount Commerce,WU
18,"Fri, 06 Sep 2019 09:26:00 -0400",Western Union (WU) collaborates with TRUE North to provide tuition payments to educational institutions across Canada.,Neutral,Western Union Partners TRUE North to Provide Tuition Payment,WU
19,"Sat, 31 Aug 2019 09:32:02 -0400",Western Union (WU) reported earnings 30 days ago. What's next for the stock?,Positive,Western Union (WU) Up 4.9% Since Last Earnings Report: Can It Continue?,WU
20,"Tue, 13 Aug 2019 09:36:00 -0400",Western Union (WU) expands in Philippines in agreement with BDO Unibank  to tap the vast remittance market.,Positive,Western Union-BDO Unibank Tie Up to Expand in Philippines,WU
21,"Thu, 01 Aug 2019 22:43:10 -0400",The Western Union Company (WU) CEO Hikmet Ersek on Q2 2019 Results - Earnings Call Transcript,Neutral,The Western Union Company (WU) CEO Hikmet Ersek on Q2 2019 Results - Earnings Call Transcript,WU
22,"Thu, 01 Aug 2019 17:25:06 -0400","Western Union (WU) delivered earnings and revenue surprises of -6.25% and 0.07%, respectively, for the quarter ended June 2019. Do the numbers hold clues to what lies ahead for the stock?",Negative,Western Union (WU) Q2 Earnings Miss Estimates,WU
23,"Thu, 01 Aug 2019 07:39:57 -0400","The Western Union (NYSE: WU) releases its next round of earnings this Thursday, August 1.",Positive,Western Union Q2 Earnings Preview,WU
