,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 19:25:00 -0500",Here are the Dow stocks that are likely to outperform in the month of December.,Positive,Stocks To Trade In December,XOM
1,"Wed, 20 Nov 2019 07:28:00 -0500",The top driller in Guyana took a pass on Brazil.,Neutral,Why ExxonMobil's Guyana Success May Have Hurt Petrobras,XOM
2,"Tue, 19 Nov 2019 10:00:15 -0500","Integrated oil companies, such as Dow component Exxon Mobil (NYSE:XOM), are in a tricky spot in 2019. Not only is there political momentum for adoption of alternative energy sources, but green energy is becoming cheaper to deploy and produce and many of the related investments are surging.",Positive,"Exxon Stock Still Solid and Undervalued, but the Market Doesn’t Seem to Care",XOM
3,"Tue, 19 Nov 2019 05:16:15 -0500","XOM stock has under-performed due to fears over a long-term secular decline in the oil market. However, Exxon has the cash flow to invest in alternative energy and transition its business over time.",Positive,Exxon Mobil Stock is a High-Yield Transformation Story,XOM
4,"Sun, 17 Nov 2019 16:44:45 -0500","Learn more about some of the biggest subsidiaries and joint-venture companies in the Exxon Mobil family, including both domestic and international businesses.",Neutral,Top 5 Companies Owned by Exxon Mobil (XOM),XOM
5,"Sun, 17 Nov 2019 07:38:00 -0500",Don't believe all the hype about renewable power -- it is going to take a long time for electricity to replace oil and natural gas.,Positive,Exxon: Demand for Carbon Fuels Is Still Growing,XOM
6,"Sat, 16 Nov 2019 08:06:00 -0500",This clash of titans has a clear winner.,Neutral,Better Buy: Chevron vs. ExxonMobil,XOM
7,"Thu, 14 Nov 2019 13:33:25 -0500","New York has rested its case against Exxon Mobil, in only the second climate change case in US history to go to trial. But the ruling, expected in coming weeks, could be much narrower than originally anticipated.",Neutral,Will New York Vs. Exxon Matter?,XOM
8,"Tue, 12 Nov 2019 15:28:07 -0500","In trading on Tuesday, shares of Exxon Mobil Corp (NYSE:XOM) were yielding above the 5% mark based on its quarterly dividend (annualized to $3.48), with the stock changing hands as low as $69.21 on the day.",Neutral,Exxon Mobil (XOM) Shares Cross 5% Yield Mark,XOM
9,"Tue, 12 Nov 2019 08:15:17 -0500","Crude oil traded around $57.09 a barrel early Tuesday, basically flat for the past week and still well below a high of $62.90 posted on September 16, the first trading day following the attack on the Saudi oil processing plants.",Negative,Short Sellers See Opportunity in Energy Stocks ,XOM
10,"Tue, 12 Nov 2019 07:34:09 -0500","These 3 big stock charts highlight names with a fundamental case for a rally — and technical concerns.
The post 3 Big Stock Charts for Tuesday: Exxon Mobil, Newell Brands, and Union Pacific appeared first on InvestorPlace.",Neutral,"3 Big Stock Charts for Tuesday: Exxon Mobil, Newell Brands, and Union Pacific",XOM
11,"Tue, 12 Nov 2019 07:18:36 -0500",ExxonMobil: A Little More Patience Is Required,Positive,ExxonMobil: A Little More Patience Is Required,XOM
12,"Tue, 12 Nov 2019 07:05:01 -0500","It takes a certain kind of courage to short sell blue chips, such as the Dow Jones industrial average components.",Negative,The 5 Most Shorted Dow Stocks,XOM
13,"Sun, 10 Nov 2019 07:44:00 -0500","With more supplies coming from multiple sources, oil prices could remain under pressure next year.",Negative,4 Reasons 2020 Could Be Another Challenging Year for Oil Stocks,XOM
14,"Thu, 07 Nov 2019 13:01:38 -0500",Lawyers for New York state and Exxon Mobil Corp  delivered closing arguments in a closely watched trial accusing the oil company of hiding from investors the true cost of addressing climate change.,Negative,Exxon's lawyer calls lawsuit a 'cruel joke' as climate change fraud trial ends,XOM
15,"Thu, 07 Nov 2019 10:23:19 -0500",Every U.S. corporation routinely performs internal analyses of the impacts that possible future government policies might have on the company’s bottom line. New York's suit against ExxonMobil will likely have a chilling impact on such analyses in the future.,Negative,The Chilling Impact Of The New York Climate Suit Against ExxonMobil,XOM
16,"Thu, 07 Nov 2019 07:25:58 -0500",An announcement Wednesday morning that integrated oil giant Exxon Mobil Corp. (NYSE: XOM) has signed a new two-year joint-development with FuelCell Energy Inc.,Positive,"The Exxon-FuelCell Energy Project: Necessary, but Not Enough",XOM
17,"Thu, 07 Nov 2019 06:59:57 -0500","Even though oil has stayed above the critical $50 a barrel level for some time now, the energy sector has been a big disappointment this year.",Positive,Oil Could Go to $85 in 2020: 3 Top Stocks to Buy Now,XOM
18,"Wed, 06 Nov 2019 16:27:27 -0500",Exxon Mobil: Stay Focused On The Long Haul,Positive,Exxon Mobil: Stay Focused On The Long Haul,XOM
19,"Wed, 06 Nov 2019 08:38:00 -0500","These companies might not be your favorite, but that doesn't mean they aren't great payers.",Positive,3 Hated Dividend Stocks to Buy Now,XOM
20,"Wed, 06 Nov 2019 08:09:10 -0500","Shares of FuelCell Energy Inc. FCEL, -0.19% rallied 46% in premarket trade Wednesday, after the company and Exxon Mobil Corp. said they have expanded a carbon capture technology agreement.",Positive,FuelCell shares rally 46% premarket on news of $60 million carbon capture tech pact with ExxxonMobil,XOM
21,"Wed, 06 Nov 2019 08:00:00 -0500","IRVING, Texas and DANBURY, Conn., Nov.  06, 2019  (GLOBE NEWSWIRE) -- ExxonMobil and FuelCell Energy, Inc. said today they have signed a new, two-year expanded joint-development agreement to further enhance carbonate fuel cell technology for the purpose of capturing carbon dioxide from industrial facilities.",Neutral,"ExxonMobil, FuelCell Energy Expand Agreement for Carbon Capture Technology",XOM
22,"Tue, 05 Nov 2019 13:00:31 -0500",What’s the greatest company in history? You could make a strong case for shopping disruptor Amazon (AMZN).,Negative,The #1 Reason the World’s Most Powerful Stock Is Crashing,XOM
23,"Tue, 05 Nov 2019 12:25:29 -0500",Exxon-Mobil: 'Not Just Another Love Song',Positive,Exxon-Mobil: 'Not Just Another Love Song',XOM
24,"Tue, 05 Nov 2019 12:20:08 -0500",Exxon Mobil typifies a big capitalization stock whose management spells pure corperatese.,Neutral,"Misplaced Earnings Perceptions: Facebook, US Steel, Even Exxon, Alibaba and Halliburton",XOM
25,"Tue, 05 Nov 2019 11:30:00 -0500",These companies will keep cash flowing back to shareholders.,Positive,3 Dividend Stocks Ideal for Retirees,XOM
26,"Tue, 05 Nov 2019 09:25:41 -0500","Options trading was buzzing in McDonald's, Advanced Micro Devices and Exxon Mobil. Here are the metrics that matter moving forward.",Neutral,"Tuesday’s Vital Data: McDonald’s, Advanced Micro Devices and Exxon Mobil",XOM
27,"Tue, 05 Nov 2019 05:01:00 -0500","XOM stock traders can bet on the Saudis keeping oil prices high through their IPO, but in the long run all oil companies are dead. 
The post Exxon Mobil Stock Investors Ride the Waves of Oil Patch Skepticism appeared first on InvestorPlace.",Neutral,Exxon Mobil Stock Investors Ride the Waves of Oil Patch Skepticism,XOM
